ResponseId,JobSatPoints_1,JobSatPoints_4,JobSatPoints_5,JobSatPoints_6,JobSatPoints_7,JobSatPoints_8,JobSatPoints_9,JobSatPoints_10,JobSatPoints_11,JobSat
434,40.0,,15.0,5.0,5.0,30.0,5.0,,,70.0
435,,,,,,,,,,
436,10.0,20.0,,30.0,,,,20.0,20.0,70.0
437,60.0,50.0,40.0,90.0,80.0,70.0,100.0,30.0,90.0,70.0
438,,,,,,,,,,
439,,,,,,,,,,
440,,,,,,,,,,
441,,,,,,,,,,
442,,,,,,,,,,
443,,,,,,,,,,
444,15.0,5.0,5.0,10.0,30.0,20.0,5.0,5.0,5.0,80.0
445,,10.0,10.0,30.0,10.0,10.0,30.0,,,90.0
446,,,,,,,,,,
447,,,,30.0,25.0,20.0,20.0,5.0,,60.0
448,40.0,,,,80.0,90.0,,,,60.0
449,,,,,,,,,,
450,25.0,,5.0,15.0,10.0,20.0,10.0,5.0,10.0,70.0
451,,,,,,,,,,
452,30.0,40.0,,10.0,,10.0,10.0,,,70.0
453,,,5.0,20.0,25.0,25.0,,10.0,15.0,80.0
454,,,,10.0,10.0,60.0,20.0,,,80.0
455,20.0,,,30.0,10.0,30.0,10.0,,,70.0
456,,,,,,,,,,
457,70.0,10.0,,10.0,10.0,,,,,100.0
458,20.0,,,25.0,20.0,30.0,,,5.0,80.0
459,,50.0,,10.0,20.0,,10.0,5.0,5.0,30.0
460,,,57.0,25.0,60.0,15.0,,100.0,,20.0
461,20.0,,,30.0,20.0,10.0,,,20.0,80.0
462,10.0,,,20.0,50.0,,10.0,10.0,,70.0
463,,,,,,,,,,
464,,,,,,,,,,
465,10.0,,,30.0,30.0,,10.0,20.0,,40.0
466,10.0,10.0,10.0,20.0,10.0,20.0,,10.0,10.0,80.0
467,,,,,,,,,,
468,20.0,,,20.0,30.0,20.0,10.0,,,50.0
469,20.0,,,20.0,20.0,20.0,10.0,10.0,,60.0
470,,20.0,,30.0,10.0,10.0,30.0,,,80.0
471,,,,,,,,,,
472,,,,,,,,,,
473,,,,,,,,,,40.0
474,,,,,,,,,,
475,,,,,,,,,,
476,,,,,,,,,,
477,,,,,,,,,,
478,20.0,,10.0,30.0,10.0,20.0,10.0,,,80.0
479,,,,,,,,,,
480,,20.0,80.0,80.0,100.0,100.0,50.0,90.0,100.0,70.0
481,,,,,,,,,,
482,15.0,,15.0,20.0,15.0,15.0,,,20.0,80.0
483,30.0,30.0,5.0,10.0,10.0,10.0,20.0,30.0,5.0,80.0
484,20.0,,,20.0,25.0,5.0,10.0,10.0,10.0,90.0
485,,,,,,,,,,
486,,,,10.0,50.0,20.0,20.0,,,80.0
487,,,,,,,,,,
488,,,,,,,,,,
489,20.0,,,20.0,20.0,20.0,20.0,,,80.0
490,10.0,2.0,3.0,10.0,10.0,20.0,20.0,25.0,,90.0
491,,,,,,,,,,
492,20.0,10.0,10.0,20.0,30.0,10.0,,,,70.0
493,,,,30.0,60.0,10.0,,,,60.0
494,30.0,,,20.0,,,,,50.0,70.0
495,,,,,,,,,,
496,,,,,,,,,,70.0
497,,30.0,,30.0,90.0,90.0,75.0,25.0,25.0,70.0
498,,,,,,70.0,,30.0,,50.0
499,15.0,,8.0,5.0,10.0,14.0,25.0,3.0,20.0,
500,,10.0,16.0,21.0,10.0,15.0,4.0,10.0,14.0,20.0
501,,,,,,,,,,
502,5.0,,,15.0,20.0,30.0,15.0,5.0,10.0,90.0
503,,,,,,,,,,80.0
504,,,,10.0,50.0,20.0,,,20.0,90.0
505,,,,,,,,,,
506,,,,,,,,,,
507,,,,,,,,,,
508,10.0,,,10.0,10.0,10.0,20.0,,10.0,60.0
509,,,,,,,,,,
510,,,,,,,,,,
511,,,,,,,,,,
512,,,,,,,,,,80.0
513,,,,,,,,,,
514,,,,,,,,,,
515,,,,,,,,,,
516,7.0,12.0,15.0,18.0,18.0,10.0,5.0,7.0,8.0,30.0
517,,,,25.0,25.0,,50.0,,,70.0
518,,,,,,,,,,
519,,,,,70.0,,30.0,,,80.0
520,10.0,,15.0,50.0,20.0,5.0,,,,70.0
521,,,,,,,,,,
522,20.0,3.0,5.0,5.0,10.0,10.0,10.0,3.0,1.0,60.0
523,20.0,,5.0,10.0,15.0,15.0,5.0,10.0,20.0,50.0
524,,,,,,,,,,
525,,,,,,,,,,
526,20.0,,,50.0,,5.0,,10.0,15.0,30.0
527,,,,,,,,,,
528,,,,,,,,,,
529,25.0,,5.0,40.0,20.0,10.0,,,,90.0
530,,,,40.0,20.0,,30.0,10.0,,60.0
531,,,,,,,,,,80.0
532,5.0,5.0,,20.0,15.0,15.0,20.0,20.0,,80.0
533,,,,,,,,,,
534,30.0,15.0,10.0,10.0,10.0,25.0,,,,80.0
535,15.0,15.0,10.0,15.0,15.0,15.0,5.0,3.0,7.0,80.0
536,,,,,,,,,,
537,,,,,,,,,,
538,30.0,10.0,5.0,15.0,5.0,20.0,10.0,5.0,,70.0
539,10.0,,,20.0,,,70.0,,,80.0
540,10.0,40.0,,10.0,20.0,10.0,5.0,5.0,,60.0
541,,,,15.0,25.0,15.0,15.0,10.0,,60.0
542,,,,,,,,,,
543,,,,,,,,,,20.0
544,30.0,10.0,,5.0,20.0,,20.0,15.0,,80.0
545,,,,,,,,,,
546,40.0,5.0,5.0,30.0,5.0,5.0,10.0,,,80.0
547,,,,,,,,,,
548,15.0,10.0,,15.0,20.0,25.0,,10.0,5.0,90.0
549,,,,,,,,,,80.0
550,,,,,,,,,,60.0
551,90.0,100.0,,,,,,,100.0,30.0
552,,,,,,,,,,40.0
553,,,,,,,,,,
554,,5.0,5.0,35.0,35.0,10.0,,10.0,,60.0
555,,,,,,,,,,
556,,,,,,,,,,
557,,,,,,,,,,
558,,,,,,,,,,
559,,,,,,,,,,
560,80.0,10.0,70.0,50.0,20.0,90.0,80.0,40.0,20.0,70.0
561,,,,,,,,,,80.0
562,,,,,,,,,,
563,,,,,,,,,,
564,5.0,,,35.0,25.0,25.0,,10.0,,90.0
565,10.0,2.0,10.0,20.0,15.0,13.0,10.0,10.0,10.0,80.0
566,,,,,,,,,,
567,34.0,,,33.0,33.0,,,,,60.0
568,,,,,,,,,,
569,,20.0,,10.0,20.0,35.0,5.0,,10.0,80.0
570,90.0,10.0,60.0,80.0,30.0,40.0,20.0,10.0,70.0,90.0
571,15.0,,,50.0,5.0,,5.0,20.0,5.0,80.0
572,,,,,,,,,,
573,10.0,,10.0,40.0,,20.0,20.0,,,100.0
574,,,,,,,,,,
575,,,,,,,,,,
576,15.0,,5.0,20.0,20.0,15.0,10.0,5.0,10.0,90.0
577,,,,,,,,,,
578,40.0,,,20.0,40.0,,,,,70.0
579,,,,40.0,25.0,,25.0,10.0,,80.0
580,10.0,10.0,10.0,25.0,10.0,10.0,25.0,,,80.0
581,,,,,,,,,,90.0
582,10.0,10.0,,40.0,15.0,15.0,10.0,,,80.0
583,,,,,,,,,,
584,,,,,,,,,,
585,45.0,10.0,20.0,20.0,5.0,,,,,70.0
586,5.0,10.0,,25.0,30.0,20.0,10.0,,,80.0
587,,,,100.0,,,,,,20.0
588,10.0,,15.0,10.0,15.0,25.0,20.0,,5.0,90.0
589,,,,,,,,,,
590,,,,,,,,,,
591,,,,,,,,,,
592,,,,,,,,,,20.0
593,,,,25.0,37.0,38.0,,,,60.0
594,,,,,,,,,,
595,30.0,,5.0,10.0,10.0,20.0,20.0,5.0,,80.0
596,,,,,,,,,,50.0
597,,,10.0,30.0,10.0,10.0,,40.0,,80.0
598,,,,,,,,,,
599,,,,,,,,,,
600,,,,,,,,,,
601,80.0,80.0,90.0,80.0,90.0,70.0,70.0,80.0,80.0,80.0
602,10.0,,50.0,40.0,30.0,30.0,30.0,20.0,20.0,60.0
603,,,,,,,,,,
604,1.0,1.0,1.0,20.0,25.0,25.0,25.0,1.0,1.0,90.0
605,,,,,,,,,,
606,,,,,,,,,,
607,10.0,,5.0,20.0,30.0,10.0,,20.0,5.0,50.0
608,,,,,,,,,,
609,,,,,,,,,,
610,,,,,,,,,,
611,,,,,,,,,,
612,,,,,,,,,,
613,35.0,,10.0,15.0,20.0,20.0,,,,60.0
614,60.0,40.0,60.0,20.0,60.0,50.0,30.0,40.0,50.0,40.0
615,,,,,,,,,,
616,,15.0,30.0,15.0,40.0,,,,,20.0
617,30.0,,,30.0,10.0,15.0,,15.0,,60.0
618,10.0,,,25.0,20.0,25.0,20.0,,,70.0
619,20.0,,30.0,50.0,,,,,,40.0
620,,,,,,,,,,
621,25.0,,,20.0,15.0,25.0,15.0,,,90.0
622,,,,,,,,,,
623,,,,,,,,,,
624,,,,,,,,,,
625,30.0,,,,,60.0,10.0,,,70.0
626,,,,,,,,,,
627,,,,,,,,,,
628,,,,,,,,,,
629,,,,,,,,,,60.0
630,,,100.0,100.0,,,,,,70.0
631,,,,,,,,,,90.0
632,3.0,2.0,5.0,10.0,20.0,20.0,10.0,20.0,10.0,90.0
633,10.0,20.0,,15.0,5.0,30.0,20.0,,,90.0
634,,,,,,,,,,
635,,,,,,,,,,
636,,,,,,,,,,
637,,,,,,,,,,90.0
638,,,,,,,,,,
639,,,,,,,,,,
640,,,,,,,,,,
641,15.0,,5.0,25.0,15.0,25.0,,5.0,10.0,100.0
642,14.0,14.0,2.0,30.0,12.0,20.0,5.0,1.0,2.0,60.0
643,,,,,,,,,,
644,,,,,,,,,,
645,10.0,,10.0,30.0,40.0,5.0,,,5.0,70.0
646,,,,,,,,,,30.0
647,35.0,,10.0,20.0,10.0,15.0,,10.0,,90.0
648,,,,,,,,,,
649,,,,,,,,,,
650,,,,,,,,,,50.0
651,,,,,,,,,,
